id_mesa,id_establecimiento,id_circuito,descripcion,ciudadanos_habilitados,extranjera
1,4367,1,1,342,NO
2,4367,1,2,341,NO
3,4367,1,3,344,NO
4,4367,1,4,340,NO
5,4367,1,5,342,NO
6,4367,1,6,341,NO
7,4367,1,7,341,NO
8,4367,1,8,340,NO
9,4367,1,9,341,NO
10,4367,1,10,339,NO
11,4367,1,11,341,NO
12,5043,1,12,340,NO
13,5043,1,13,341,NO
14,5043,1,14,341,NO
15,5043,1,15,339,NO
16,5043,1,16,342,NO
17,5043,1,17,342,NO
18,5043,1,18,341,NO
19,4369,1,19,341,NO
20,4369,1,20,341,NO
21,4369,1,21,340,NO
22,4369,1,22,339,NO
23,4369,1,23,342,NO
24,4369,1,24,340,NO
25,4369,1,25,344,NO
26,4369,1,26,341,NO
27,4369,1,27,341,NO
28,4369,1,28,342,NO
29,9009,1,29,342,NO
30,9009,1,30,340,NO
31,9009,1,31,341,NO
32,5113,2,32,350,NO
33,5113,2,33,350,NO
34,5113,2,34,351,NO
35,5113,2,35,349,NO
36,5113,2,36,350,NO
37,5113,2,37,350,NO
38,5113,2,38,353,NO
39,5113,2,39,349,NO
40,5113,2,40,348,NO
41,5113,2,41,352,NO
42,5113,2,42,348,NO
43,5113,2,43,350,NO
44,5113,2,44,350,NO
45,5113,2,45,350,NO
46,7749,2,46,352,NO
47,7749,2,47,351,NO
48,7749,2,48,350,NO
49,7749,2,49,352,NO
50,7749,2,50,348,NO
51,7749,2,51,352,NO
52,7749,2,52,347,NO
53,7749,2,53,351,NO
54,7749,2,54,351,NO
55,9012,2,55,349,NO
56,9012,2,56,350,NO
57,9012,2,57,350,NO
58,9012,2,58,350,NO
59,9012,2,59,347,NO
60,9012,2,60,350,NO
61,8066,3,61,312,NO
62,8066,3,62,313,NO
63,8066,3,63,311,NO
64,8066,3,64,311,NO
65,8066,3,65,313,NO
66,8066,3,66,313,NO
67,8066,4,67,333,NO
68,8066,4,68,333,NO
69,8066,4,69,335,NO
70,8066,4,70,334,NO
71,8066,4,71,335,NO
72,8066,4,72,335,NO
73,4636,5,73,351,NO
74,4636,5,74,354,NO
75,4636,5,75,349,NO
76,4636,5,76,351,NO
77,4636,5,77,350,NO
78,4636,5,78,350,NO
79,4636,5,79,352,NO
80,4636,5,80,351,NO
81,4636,5,81,350,NO
82,4636,5,82,352,NO
83,4636,5,83,352,NO
84,4636,5,84,351,NO
85,4636,5,85,351,NO
86,4639,5,86,351,NO
87,4639,5,87,349,NO
88,4639,5,88,352,NO
89,4639,5,89,350,NO
90,4639,5,90,350,NO
91,4639,5,91,350,NO
92,4639,5,92,349,NO
93,4639,5,93,351,NO
94,4639,5,94,349,NO
95,4596,6,95,347,NO
96,4596,6,96,348,NO
97,4596,6,97,349,NO
98,4596,6,98,349,NO
99,4596,6,99,347,NO
100,4596,6,100,349,NO
101,4596,6,101,347,NO
102,4596,6,102,347,NO
103,4596,6,103,348,NO
104,4596,6,104,349,NO
105,4596,6,105,348,NO
106,4596,6,106,347,NO
107,4596,6,107,350,NO
108,4596,6,108,348,NO
109,4596,6,109,352,NO
110,4596,6,110,346,NO
111,4596,6,111,349,NO
112,4596,6,112,349,NO
113,4596,6,113,346,NO
114,4596,6,114,347,NO
115,4593,6,115,349,NO
116,4593,6,116,349,NO
117,4593,6,117,346,NO
118,4593,6,118,348,NO
119,4593,6,119,351,NO
120,4593,6,120,348,NO
121,4593,6,121,348,NO
122,4593,6,122,349,NO
123,4593,6,123,348,NO
124,4593,6,124,352,NO
125,4593,6,125,347,NO
126,4593,6,126,351,NO
127,4593,6,127,347,NO
128,4593,6,128,345,NO
129,4593,6,129,347,NO
130,4593,6,130,347,NO
131,4593,6,131,348,NO
132,4593,6,132,346,NO
133,4593,6,133,349,NO
134,4593,6,134,347,NO
135,4593,6,135,349,NO
136,4593,6,136,347,NO
137,9023,6,137,348,NO
138,9023,6,138,347,NO
139,9023,6,139,347,NO
140,9023,6,140,344,NO
141,9023,6,141,348,NO
142,5210,7,142,342,NO
143,5210,7,143,345,NO
144,5210,7,144,345,NO
145,5210,7,145,348,NO
146,5210,7,146,342,NO
147,5210,7,147,344,NO
148,5210,7,148,344,NO
149,5210,7,149,345,NO
150,5210,7,150,342,NO
151,5210,7,151,344,NO
152,5210,7,152,343,NO
153,5210,7,153,344,NO
154,5210,7,154,343,NO
155,5210,7,155,345,NO
156,9015,7,156,345,NO
157,9015,7,157,344,NO
158,9015,7,158,343,NO
159,9015,7,159,342,NO
160,9377,7,160,344,NO
161,9377,7,161,344,NO
162,9377,7,162,344,NO
163,9377,7,163,344,NO
164,9377,7,164,341,NO
165,9377,7,165,344,NO
166,4641,8,166,340,NO
167,4641,8,167,344,NO
168,4641,8,168,342,NO
169,4641,8,169,344,NO
170,4641,8,170,339,NO
171,4641,8,171,343,NO
172,4641,8,172,341,NO
173,4641,8,173,341,NO
174,4641,8,174,341,NO
175,4641,8,175,343,NO
176,4641,8,176,340,NO
177,4641,8,177,339,NO
178,4641,8,178,342,NO
179,4641,8,179,341,NO
180,4641,8,180,342,NO
181,9023,8,181,343,NO
182,9023,8,182,339,NO
183,9023,8,183,338,NO
184,9023,8,184,340,NO
185,9023,8,185,339,NO
186,4631,8,186,340,NO
187,4631,8,187,338,NO
188,4631,8,188,340,NO
189,4631,8,189,337,NO
190,4631,8,190,339,NO
191,4631,8,191,341,NO
192,4409,9,192,350,NO
193,4409,9,193,352,NO
194,4409,9,194,350,NO
195,4409,9,195,350,NO
196,4409,9,196,349,NO
197,4409,9,197,352,NO
198,4409,9,198,350,NO
199,4409,9,199,352,NO
200,4409,9,200,348,NO
201,4409,9,201,349,NO
202,4409,9,202,348,NO
203,4409,9,203,346,NO
204,4409,9,204,349,NO
205,4409,9,205,350,NO
206,4409,9,206,348,NO
207,4407,9,207,349,NO
208,4407,9,208,347,NO
209,4407,9,209,349,NO
210,4407,9,210,350,NO
211,4407,9,211,349,NO
212,4407,9,212,346,NO
213,4407,9,213,352,NO
214,4407,9,214,345,NO
215,4407,9,215,349,NO
216,4410,9,216,350,NO
217,4410,9,217,348,NO
218,4410,9,218,348,NO
219,4410,9,219,348,NO
220,4410,9,220,349,NO
221,4410,9,221,348,NO
222,4410,9,222,348,NO
223,4410,9,223,348,NO
224,4410,9,224,348,NO
225,5330,10,225,351,NO
226,5330,10,226,351,NO
227,5330,10,227,347,NO
228,5330,10,228,349,NO
229,5330,10,229,347,NO
230,5330,10,230,351,NO
231,5330,10,231,348,NO
232,5330,10,232,351,NO
233,5330,10,233,348,NO
234,5330,10,234,348,NO
235,4412,10,235,350,NO
236,4412,10,236,348,NO
237,4412,10,237,344,NO
238,4412,10,238,351,NO
239,4412,10,239,348,NO
240,4412,10,240,349,NO
241,4412,10,241,351,NO
242,4412,10,242,347,NO
243,4412,10,243,348,NO
244,4412,10,244,348,NO
245,4412,10,245,349,NO
246,4412,10,246,347,NO
247,4412,10,247,349,NO
248,4412,10,248,349,NO
249,4412,10,249,348,NO
250,4412,10,250,348,NO
251,4412,10,251,349,NO
252,9026,10,252,349,NO
253,9026,10,253,348,NO
254,9026,10,254,349,NO
255,9026,10,255,347,NO
256,9026,10,256,348,NO
257,9026,10,257,348,NO
258,9026,10,258,350,NO
259,9026,10,259,348,NO
260,4404,11,260,342,NO
261,4404,11,261,345,NO
262,4404,11,262,347,NO
263,4404,11,263,347,NO
264,4404,11,264,344,NO
265,4404,11,265,346,NO
266,4404,11,266,347,NO
267,4404,11,267,346,NO
268,4404,11,268,345,NO
269,4404,11,269,345,NO
270,9029,11,270,348,NO
271,9029,11,271,344,NO
272,9029,11,272,344,NO
273,9029,11,273,344,NO
274,9029,11,274,345,NO
275,9029,11,275,345,NO
276,9029,11,276,347,NO
277,9029,11,277,344,NO
278,9029,11,278,347,NO
279,9029,11,279,344,NO
280,8691,11,280,346,NO
281,8691,11,281,346,NO
